reference_number,color_and_brick,quantity,set_number
7252stk01," Sticker Sheet for Set 7252 - (52257/4256107)Catalog: Parts: Sticker Sheet4256107
",1,7252
52107,"Black Brick, Modified 1 x 2 with Studs on 2 SidesCatalog: Parts: Brick, Modified4253815
",3,7252
30386,"Black Hinge Brick 1 x 2 Locking with 1 Finger Vertical End and 2 Fingers Vertical End, 9 TeethCatalog: Parts: Hinge4167106
",3,7252
30383,"Black Hinge Plate 1 x 2 Locking with 1 Finger On TopCatalog: Parts: Hinge6338799 or 3038326 or 4142992 or 4144575
",6,7252
32529,"Black Technic, Pin Connector Plate with One Hole (Single on Bottom)Catalog: Parts: Technic, Connector4144023
",3,7252
3068b,"Black Tile 2 x 2 with GrooveCatalog: Parts: Tile306826
",6,7252
44302,"Dark Blue Hinge Plate 1 x 2 Locking with 2 Fingers on End (Undetermined Type)Catalog: Parts: HingePart Color Code Missing
",6,7252
2476,"Dark Blue Plate, Modified 2 x 2 with Pin on BottomCatalog: Parts: Plate, Modified4251956
",2,7252
32125,"Dark Blue Technic, Plate Rotor 3 Blade with Smooth Ends and 6 Studs (Propeller)Catalog: Parts: Technic, PlatePart Color Code Missing
",2,7252
3069b,"Dark Blue Tile 1 x 2 with GrooveCatalog: Parts: Tile4205012 or 4528488
",2,7252
3069bpb0044,"Dark Blue Tile 1 x 2 with Groove with 3 White Triangles PatternCatalog: Parts: Tile, DecoratedPart Color Code Missing
",4,7252
3068b,"Dark Blue Tile 2 x 2 with GrooveCatalog: Parts: Tile4205004
",6,7252
51739,"Dark Blue Wedge, Plate 2 x 4Catalog: Parts: Wedge, Plate4613335 or 4251895
",6,7252
4589,"Dark Bluish Gray Cone 1 x 1 without Top GrooveCatalog: Parts: Cone4518486 or 4529240 or 4210647
",1,7252
3942c,"Dark Bluish Gray Cone 2 x 2 x 2 - Open StudCatalog: Parts: Cone6092666 or 6022161 or 4211108
",1,7252
3794a,"Dark Bluish Gray Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified4211119
",3,7252
4073,"Dark Bluish Gray Plate, Round 1 x 1Catalog: Parts: Plate, Round4210633
",3,7252
6587,"Dark Bluish Gray Technic, Axle  3L with StudCatalog: Parts: Technic, Axle6129590 or 6587199 or 4211086
",1,7252
2555,"Dark Bluish Gray Tile, Modified 1 x 1 with ClipCatalog: Parts: Tile, Modified6030710 or 4211069
",3,7252
30374,"Light Bluish Gray Bar   4L (Lightsaber Blade / Wand)Catalog: Parts: Bar6116608 or 4211628
",4,7252
44822,"Light Bluish Gray Hinge Tile 1 x 4 Locking Dual 1 Fingers on TopCatalog: Parts: Hinge4193106
",2,7252
3623,"Light Bluish Gray Plate 1 x 3Catalog: Parts: Plate4211429 or 3623194
",3,7252
4032,"Light Bluish Gray Plate, Round 2 x 2 with Axle HoleCatalog: Parts: Plate, Round4211475
",1,7252
4185,"Light Bluish Gray Technic Wedge Belt Wheel (Pulley)Catalog: Parts: Wheel6321743 or 4211544 or 4494222
",2,7252
4519,"Light Bluish Gray Technic, Axle  3LCatalog: Parts: Technic, Axle4211815
",1,7252
32015,"Light Bluish Gray Technic, Axle and Pin Connector Angled #5 - 112.5 degreesCatalog: Parts: Technic, Connector6271347 or 4211551
",1,7252
32062,"Red Technic, Axle  2L NotchedCatalog: Parts: Technic, Axle4142865
",2,7252
52107,"Sand Blue Brick, Modified 1 x 2 with Studs on 2 SidesCatalog: Parts: Brick, Modified4253830
",15,7252
30386,"Sand Blue Hinge Brick 1 x 2 Locking with 1 Finger Vertical End and 2 Fingers Vertical End, 9 TeethCatalog: Parts: Hinge4251959
",12,7252
47456,"Sand Blue Slope, Curved 3 x 2 x 2/3 with Two Studs, Wing EndCatalog: Parts: Slope, Curved4218568
",6,7252
3068b,"Sand Blue Tile 2 x 2 with GrooveCatalog: Parts: Tile6176818 or 4167490
",6,7252
51739,"Sand Blue Wedge, Plate 2 x 4Catalog: Parts: Wedge, Plate4248747 or 6285557 or 6111474
",6,7252
4265c,"Tan Technic Bush 1/2 SmoothCatalog: Parts: Technic4206210
",1,7252
50747px1,"Trans-Black Windscreen 6 x 6 x 3 Canopy Half Sphere with Dual 2 Fingers and SW Droid Tri-Fighter PatternCatalog: Parts: Windscreen, Decorated4251937
",2,7252
4740,"Trans-Neon Orange Dish 2 x 2 Inverted (Radar)Catalog: Parts: Dish6245295 or 3006347
",3,7252
x346,"Trans-Red Bionicle 1 x 3 Tooth with Axle HoleCatalog: Parts: Bionicle6275769 or 4163567
",2,7252
4589,"Trans-Red Cone 1 x 1 without Top GrooveCatalog: Parts: Cone4544720 or 618841
",4,7252
sw0136(inv)," Buzz Droid with Circular Blade SawCatalog: Minifigures: Star Wars
",1,7252
4073,"Dark Bluish Gray Plate, Round 1 x 1Catalog: Parts: Plate, Round4210633
",1,7252
4265c,"Tan Technic Bush 1/2 SmoothCatalog: Parts: Technic4206210
",1,7252
4073,"Trans-Neon Orange Plate, Round 1 x 1Catalog: Parts: Plate, Round6240218 or 3005747
",1,7252
3068bpb0142,"Black Tile 2 x 2 with Groove with Grille Five Bar Black and Gray Pattern (Sticker) - Sets 7252 / 7283Catalog: Parts: Tile, DecoratedPart Color Code Missing
",4,7252
3068bpb1300,"Dark Blue Tile 2 x 2 with Groove with Dark Bluish Gray Hexagon, 6 White Trapezoids and 3 Wear Marks Pattern (Sticker) - Sets 7252 / 7283Catalog: Parts: Tile, DecoratedPart Color Code Missing
",1,7252
3068bpb0139,"Dark Blue Tile 2 x 2 with Groove with Dark Bluish Gray Hexagon, 6 White Trapezoids and 4 Wear Marks Pattern (Sticker) - Sets 7252 / 7283Catalog: Parts: Tile, DecoratedPart Color Code Missing
",1,7252
3068bpb0140,"Sand Blue Tile 2 x 2 with Groove with 3 White Triangles, Dark Blue Stripe and Wear Marks Adjacent Pattern (Sticker) - Sets 7252 / 7283Catalog: Parts: Tile, DecoratedPart Color Code Missing
",2,7252
3068bpb0141,"Sand Blue Tile 2 x 2 with Groove with One White Triangle and Wear Marks Adjacent Pattern (Sticker) - Sets 7252 / 7283Catalog: Parts: Tile, DecoratedPart Color Code Missing
",1,7252
3068bpb0398,"Sand Blue Tile 2 x 2 with Groove with One White Triangle and Wear Marks Opposite Pattern (Sticker) - Sets 7252 / 7283Catalog: Parts: Tile, DecoratedPart Color Code Missing
",1,7252
4032b,"Light Bluish Gray Plate, Round 2 x 2 with Axle Hole (x Shape)Catalog: Parts: Plate, Round4211475
",1,7252
4265c,"Yellow Technic Bush 1/2 SmoothCatalog: Parts: Technic6271167 or 4239601 or 3212324
",1,7252
